Common name,Scientific name,Status,No.,No. Back
Green-tailed Sunbird,Aethopyga nipalensis,,76,19
White-flanked Sunbird,Aethopyga eximia,,19,2
Fork-tailed Sunbird,Aethopyga christinae,,56,19
Black-throated Sunbird,Aethopyga saturata,,63,8
Crimson Sunbird,Aethopyga siparaja,,109,17
Magnificent Sunbird,Aethopyga magnifica,,10,0
Vigors's Sunbird,Aethopyga vigorsii,,14,0
Javan Sunbird,Aethopyga mystacalis,,15,3
Temminck's Sunbird,Aethopyga temminckii,,33,0
Fire-tailed Sunbird,Aethopyga ignicauda,,21,3
Purple-naped Sunbird,Kurochkinegramma hypogrammicum,,45,10
Little Spiderhunter,Arachnothera longirostra,,186,54
Orange-tufted Spiderhunter,Arachnothera flammifera,,3,0
Pale Spiderhunter,Arachnothera dilutior,,4,3
Thick-billed Spiderhunter,Arachnothera crassirostris,,5,1
Long-billed Spiderhunter,Arachnothera robusta,,11,0
Spectacled Spiderhunter,Arachnothera flavigaster,,20,1
Yellow-eared Spiderhunter,Arachnothera chrysogenys,,7,1
Naked-faced Spiderhunter,Arachnothera clarae,,3,0
Grey-breasted Spiderhunter,Arachnothera modesta,,13,0
Streaky-breasted Spiderhunter,Arachnothera affinis,,11,2
Bornean Spiderhunter,Arachnothera everetti,,16,0
Streaked Spiderhunter,Arachnothera magna,,77,14
Whitehead's Spiderhunter,Arachnothera juliae,,8,0
Cinnamon Ibon,Hypocryptadius cinnamomeus,,10,3
Pale Rockfinch,Carpospiza brachydactyla,,30,1
Rock Sparrow,Petronia petronia,,297,246
White-rumped Snowfinch,Onychostruthus taczanowskii,,18,1
Tibetan Snowfinch,Montifringilla henrici,,15,0
White-winged Snowfinch,Montifringilla nivalis,,111,2
Black-winged Snowfinch,Montifringilla adamsi,,3,0
Afghan Snowfinch,Pyrgilauda theresae,,0,0
Rufous-necked Snowfinch,Pyrgilauda ruficollis,,14,0
Pere David's Snowfinch,Pyrgilauda davidiana,,35,0
Blanford's Snowfinch,Pyrgilauda blanfordi,,6,0
Yellow-spotted Bush Sparrow,Gymnoris pyrgita,,28,0
Yellow-throated Bush Sparrow,Gymnoris superciliaris,,46,9
Sahel Bush Sparrow,Gymnoris dentata,,37,15
Yellow-throated Sparrow,Gymnoris xanthocollis,,62,14
Cape Sparrow,Passer melanurus,,66,66
Chestnut Sparrow,Passer eminibey,,10,0
Kordofan Sparrow,Passer cordofanicus,,0,0
Shelley's Sparrow,Passer shelleyi,,15,0
Kenya Sparrow,Passer rufocinctus,,48,25
Great Sparrow,Passer motitensis,,10,0
Northern Grey-headed Sparrow,Passer griseus,,77,96
Swainson's Sparrow,Passer swainsonii,,21,24
Swahili Sparrow,Passer suahelicus,,8,2
Parrot-billed Sparrow,Passer gongonensis,,11,6
Southern Grey-headed Sparrow,Passer diffusus,,54,98
Sind Sparrow,Passer pyrrhonotus,,16,3
Russet Sparrow,Passer cinnamomeus,,75,6
Eurasian Tree Sparrow,Passer montanus,,2492,3479
Saxaul Sparrow,Passer ammodendri,,31,0
Plain-backed Sparrow,Passer flaveolus,,51,5
Abd al-Kuri Sparrow,Passer hemileucus,,0,0
Socotra Sparrow,Passer insularis,,4,3
Spanish Sparrow,Passer hispaniolensis,,230,326
Italian Sparrow,Passer italiae,,149,178
House Sparrow,Passer domesticus,,2489,6252
Somali Sparrow,Passer castanopterus,,2,0
Iago Sparrow,Passer iagoensis,,25,7
Desert Sparrow,Passer simplex,,49,5
Zarudny's Sparrow,Passer zarudnyi,,0,0
Arabian Golden Sparrow,Passer euchlorus,,3,0
Sudan Golden Sparrow,Passer luteus,,13,8
Dead Sea Sparrow,Passer moabiticus,,19,3
White-billed Buffalo Weaver,Bubalornis albirostris,,19,18
Red-billed Buffalo Weaver,Bubalornis niger,,33,7
White-headed Buffalo Weaver,Dinemellia dinemelli,,37,18
White-browed Sparrow-Weaver,Plocepasser mahali,,129,162
Chestnut-crowned Sparrow-Weaver,Plocepasser superciliosus,,29,1
Donaldson Smith's Sparrow-Weaver,Plocepasser donaldsoni,,4,0
Chestnut-backed Sparrow-Weaver,Plocepasser rufoscapulatus,,8,0
Rufous-tailed Weaver,Histurgops ruficauda,,21,6
Grey-capped Social Weaver,Pseudonigrita arnaudi,,27,8
Black-capped Social Weaver,Pseudonigrita cabanisi,,9,3
Sociable Weaver,Philetairus socius,,30,12
Scaly-feathered Weaver,Sporopipes squamifrons,,25,12
Speckle-fronted Weaver,Sporopipes frontalis,,17,1
Thick-billed Weaver,Amblyospiza albifrons,,30,3
Baglafecht Weaver,Ploceus baglafecht,,48,15
Bannerman's Weaver,Ploceus bannermani,,8,2
Bates's Weaver,Ploceus batesi,,0,0
Black-chinned Weaver,Ploceus nigrimentus,,0,0
Bertram's Weaver,Ploceus bertrandi,,4,0
Slender-billed Weaver,Ploceus pelzelni,,7,2
Loango Weaver,Ploceus subpersonatus,,0,0
Little Weaver,Ploceus luteolus,,23,0
Spectacled Weaver,Ploceus ocularis,,57,20
Black-necked Weaver,Ploceus nigricollis,,28,10
Strange Weaver,Ploceus alienus,,9,3
Black-billed Weaver,Ploceus melanogaster,,7,1
Cape Weaver,Ploceus capensis,,34,23
Bocage's Weaver,Ploceus temporalis,,2,0
Eastern Golden Weaver,Ploceus subaureus,,24,14
Holub's Golden Weaver,Ploceus xanthops,,42,10
Orange Weaver,Ploceus aurantius,,5,2
Heuglin's Masked Weaver,Ploceus heuglini,,1,0
Golden Palm Weaver,Ploceus bojeri,,9,11
Taveta Weaver,Ploceus castaneiceps,,17,5
Principe Weaver,Ploceus princeps,,6,0
Northern Brown-throated Weaver,Ploceus castanops,,4,0
Southern Brown-throated Weaver,Ploceus xanthopterus,,19,1
Kilombero Weaver,Ploceus burnieri,,43,10
Rüppell's Weaver,Ploceus galbula,,48,23
Northern Masked Weaver,Ploceus taeniopterus,,6,0
Lesser Masked Weaver,Ploceus intermedius,,42,10
Southern Masked Weaver,Ploceus velatus,,51,96
Katanga Masked Weaver,Ploceus katangae,,9,0
Lufira Masked Weaver,Ploceus ruweti,,0,0
Tanzanian Masked Weaver,Ploceus reichardi,,0,0
Vitelline Masked Weaver,Ploceus vitellinus,,35,17
Speke's Weaver,Ploceus spekei,,24,3
Fox's Weaver,Ploceus spekeoides,,5,0
Village Weaver,Ploceus cucullatus,,136,84
Giant Weaver,Ploceus grandis,,2,0
Vieillot's Black Weaver,Ploceus nigerrimus,,32,22
Weyns's Weaver,Ploceus weynsi,,1,0
Clarke's Weaver,Ploceus golandi,,4,1
Juba Weaver,Ploceus dichrocephalus,,4,0
Black-headed Weaver,Ploceus melanocephalus,,64,87
Golden-backed Weaver,Ploceus jacksoni,,17,1
Cinnamon Weaver,Ploceus badius,,2,0
Chestnut Weaver,Ploceus rubiginosus,,14,3
Golden-naped Weaver,Ploceus aureonucha,,0,0
Yellow-mantled Weaver,Ploceus tricolor,,2,0
Maxwell's Black Weaver,Ploceus albinucha,,7,1
Nelicourvi Weaver,Ploceus nelicourvi,,21,1
Sakalava Weaver,Ploceus sakalava,,27,3
Asian Golden Weaver,Ploceus hypoxanthus,,14,2
Compact Weaver,Ploceus superciliosus,,12,1
Black-breasted Weaver,Ploceus benghalensis,,1,0
Streaked Weaver,Ploceus manyar,,34,3
Baya Weaver,Ploceus philippinus,,59,16
Finn's Weaver,Ploceus megarhynchus,,2,0
Dark-backed Weaver,Ploceus bicolor,,83,26
Preuss's Weaver,Ploceus preussi,,0,0
Yellow-capped Weaver,Ploceus dorsomaculatus,,0,0
Olive-headed Weaver,Ploceus olivaceiceps,,1,0
Usambara Weaver,Ploceus nicolli,,9,0
Brown-capped Weaver,Ploceus insignis,,10,0
Bar-winged Weaver,Ploceus angolensis,,12,0
Sao Tome Weaver,Ploceus sanctithomae,,6,5
Yellow-legged Weaver,Ploceus flavipes,,0,0
Red-crowned Malimbe,Malimbus coronatus,,5,0
Cassin's Malimbe,Malimbus cassini,,2,0
Rachel's Malimbe,Malimbus racheliae,,0,0
Gola Malimbe,Malimbus ballmanni,,4,0
Red-vented Malimbe,Malimbus scutatus,,14,4
Ibadan Malimbe,Malimbus ibadanensis,,0,0
Blue-billed Malimbe,Malimbus nitens,,36,7
Red-headed Malimbe,Malimbus rubricollis,,9,2
Red-bellied Malimbe,Malimbus erythrogaster,,0,0
Crested Malimbe,Malimbus malimbicus,,14,3
Red-headed Weaver,Anaplectes rubriceps,,10,0
Cardinal Quelea,Quelea cardinalis,,4,0
Red-headed Quelea,Quelea erythrops,,2,0
Red-billed Quelea,Quelea quelea,,40,13
Red Fody,Foudia madagascariensis,,79,210
Comoros Fody,Foudia eminentissima,,4,0
Aldabra Fody,Foudia aldabrana,,0,0
Forest Fody,Foudia omissa,,18,18
Mauritius Fody,Foudia rubra,,57,4
Seychelles Fody,Foudia sechellarum,,18,7
Rodrigues Fody,Foudia flavicans,,6,0
Bob-tailed Weaver,Brachycope anomala,,2,0
Yellow-crowned Bishop,Euplectes afer,,39,50
Fire-fronted Bishop,Euplectes diadematus,,3,0
Black Bishop,Euplectes gierowii,,4,0
Zanzibar Red Bishop,Euplectes nigroventris,,5,1
Black-winged Red Bishop,Euplectes hordeaceus,,16,3
Southern Red Bishop,Euplectes orix,,49,32
Northern Red Bishop,Euplectes franciscanus,,21,4
Golden-backed Bishop,Euplectes aureus,,2,1
Yellow Bishop,Euplectes capensis,,40,6
Fan-tailed Widowbird,Euplectes axillaris,,7,0
Yellow-mantled Widowbird,Euplectes macroura,,9,2
Marsh Widowbird,Euplectes hartlaubi,,14,3
Montane Widowbird,Euplectes psammacromius,,5,2
White-winged Widowbird,Euplectes albonotatus,,14,7
Red-collared Widowbird,Euplectes ardens,,23,7
Long-tailed Widowbird,Euplectes progne,,34,8
Jackson's Widowbird,Euplectes jacksoni,,6,0
Pictorella Mannikin,Heteromunia pectoralis,,1,0
Mountain Firetail,Oreostruthus fuliginosus,,3,0
Diamond Firetail,Stagonopleura guttata,,10,3
Red-eared Firetail,Stagonopleura oculata,,2,0
Beautiful Firetail,Stagonopleura bella,,10,0
Crimson Finch,Neochmia phaeton,,29,19
Red-browed Finch,Neochmia temporalis,,14,11
Painted Finch,Emblema pictum,,7,1
Star Finch,Bathilda ruficauda,,10,0
Plum-headed Finch,Aidemosyne modesta,,3,0
Double-barred Finch,Stizoptera bichenovii,,28,39
Zebra Finch,Taeniopygia guttata,,37,32
Masked Finch,Poephila personata,,2,1
Long-tailed Finch,Poephila acuticauda,,8,0
Black-throated Finch,Poephila cincta,,7,2
Grey-headed Silverbill,Spermestes griseicapilla,,8,0
Bronze Mannikin,Spermestes cucullata,,54,55
Magpie Mannikin,Spermestes fringilloides,,7,0
Black-and-white Mannikin,Spermestes bicolor,,10,3
Red-backed Mannikin,Spermestes nigriceps,,15,2
Madagascar Mannikin,Lepidopygia nana,,15,3
African Silverbill,Euodice cantans,,37,10
Indian Silverbill,Euodice malabarica,,36,6
Java Sparrow,Padda oryzivora,,7,2
Timor Sparrow,Padda fuscata,,1,0
Streak-headed Mannikin,Mayrimunia tristissima,,6,0
White-spotted Mannikin,Mayrimunia leucosticta,,0,0
Scaly-breasted Munia,Lonchura punctulata,,132,46
Black-throated Munia,Lonchura kelaarti,,7,1
Black-faced Munia,Lonchura molucca,,9,0
White-rumped Munia,Lonchura striata,,72,33
Dusky Munia,Lonchura fuscans,,15,2
White-bellied Munia,Lonchura leucogastra,,7,0
Javan Munia,Lonchura leucogastroides,,12,2
Tricolored Munia,Lonchura malacca,,6,0
Chestnut Munia,Lonchura atricapilla,,24,5
White-capped Munia,Lonchura ferruginosa,,1,0
White-headed Munia,Lonchura maja,,12,0
Pale-headed Munia,Lonchura pallida,,1,0
Great-billed Mannikin,Lonchura grandis,,0,0
Black-breasted Mannikin,Lonchura teerinki,,2,0
Western Alpine Mannikin,Lonchura montana,,2,0
Eastern Alpine Mannikin,Lonchura monticola,,0,0
Grey-banded Mannikin,Lonchura vana,,7,0
Grey-crowned Mannikin,Lonchura nevermanni,,3,0
Grey-headed Mannikin,Lonchura caniceps,,2,0
Hooded Mannikin,Lonchura spectabilis,,5,0
Forbes's Mannikin,Lonchura forbesi,,2,0
Hunstein's Mannikin,Lonchura hunsteini,,2,0
Yellow-rumped Mannikin,Lonchura flaviprymna,,1,0
Five-colored Munia,Lonchura quinticolor,,2,0
Chestnut-breasted Mannikin,Lonchura castaneothorax,,22,15
Black Mannikin,Lonchura stygia,,1,0
Buff-bellied Mannikin,Lonchura melaena,,2,0
Gouldian Finch,Chloebia gouldiae,,4,0
Pin-tailed Parrotfinch,Erythrura prasina,,17,1
Green-faced Parrotfinch,Erythrura viridifacies,,0,0
Tawny-breasted Parrotfinch,Erythrura hyperythra,,7,0
Red-throated Parrotfinch,Erythrura psittacea,,2,0
Fiji Parrotfinch,Erythrura pealii,,4,0
Royal Parrotfinch,Erythrura regia,,0,0
Red-headed Parrotfinch,Erythrura cyaneovirens,,4,0
Pink-billed Parrotfinch,Erythrura kleinschmidti,,0,0
Tricolored Parrotfinch,Erythrura tricolor,,5,0
Red-eared Parrotfinch,Erythrura coloria,,6,0
Papuan Parrotfinch,Erythrura papuana,,0,0
Blue-faced Parrotfinch,Erythrura trichroa,,23,2
Shelley's Oliveback,Nesocharis shelleyi,,3,0
White-collared Oliveback,Nesocharis ansorgei,,1,0
Yellow-bellied Waxbill,Coccopygia quartinia,,20,1
Angolan Waxbill,Coccopygia bocagei,,1,0
Swee Waxbill,Coccopygia melanotis,,20,6
Green Twinspot,Mandingoa nitidula,,15,0
Shelley's Crimsonwing,Cryptospiza shelleyi,,0,0
Dusky Crimsonwing,Cryptospiza jacksoni,,9,0
Abyssinian Crimsonwing,Cryptospiza salvadorii,,5,0
Red-faced Crimsonwing,Cryptospiza reichenovii,,22,3
Red-fronted Antpecker,Parmoptila rubrifrons,,5,0
Woodhouse's Antpecker,Parmoptila woodhousei,,0,0
Jameson's Antpecker,Parmoptila jamesoni,,4,0
White-breasted Nigrita,Nigrita fusconotus,,22,9
Chestnut-breasted Nigrita,Nigrita bicolor,,15,1
Grey-headed Nigrita,Nigrita canicapillus,,40,16
Pale-fronted Nigrita,Nigrita luteifrons,,0,1
Grey-headed Oliveback,Delacourella capistrata,,1,0
Black-cheeked Waxbill,Brunhilda charmosyna,,8,0
Black-faced Waxbill,Brunhilda erythronotos,,14,4
Lavender Waxbill,Glaucestrilda caerulescens,,14,6
Grey Waxbill,Glaucestrilda perreini,,3,0
Cinderella Waxbill,Glaucestrilda thomensis,,3,0
Black-crowned Waxbill,Estrilda nonnula,,20,4
Black-headed Waxbill,Estrilda atricapilla,,0,1
Kandt's Waxbill,Estrilda kandti,,9,1
Orange-cheeked Waxbill,Estrilda melpoda,,16,2
Anambra Waxbill,Estrilda poliopareia,,3,0
Fawn-breasted Waxbill,Estrilda paludicola,,12,1
Abyssinian Waxbill,Estrilda ochrogaster,,7,0
Common Waxbill,Estrilda astrild,,322,351
Black-lored Waxbill,Estrilda nigriloris,,0,0
Black-rumped Waxbill,Estrilda troglodytes,,24,7
Crimson-rumped Waxbill,Estrilda rhodopyga,,17,1
Arabian Waxbill,Estrilda rufibarba,,8,0
Quailfinch,Ortygospiza atricollis,,58,41
Locust Finch,Paludipasser locustella,,16,0
Cut-throat Finch,Amadina fasciata,,16,1
Red-headed Finch,Amadina erythrocephala,,17,2
Green Avadavat,Amandava formosa,,12,1
Orange-breasted Waxbill,Amandava subflava,,19,4
Red Avadavat,Amandava amandava,,74,4
Purple Grenadier,Granatina ianthinogaster,,21,0
Violet-eared Waxbill,Granatina granatina,,12,1
Blue Waxbill,Uraeginthus angolensis,,40,60
Red-cheeked Cordon-bleu,Uraeginthus bengalus,,85,87
Blue-capped Cordon-bleu,Uraeginthus cyanocephalus,,8,0
Grant's Bluebill,Spermophaga poliogenys,,2,0
Western Bluebill,Spermophaga haematina,,22,5
Red-headed Bluebill,Spermophaga ruficapilla,,3,0
Lesser Seedcracker,Pyrenestes minor,,2,0
Crimson Seedcracker,Pyrenestes sanguineus,,0,0
Black-bellied Seedcracker,Pyrenestes ostrinus,,2,1
Green-winged Pytilia,Pytilia melba,,34,3
Orange-winged Pytilia,Pytilia afra,,3,0
Red-winged Pytilia,Pytilia phoenicoptera,,3,1
Red-billed Pytilia,Pytilia lineata,,0,0
Yellow-winged Pytilia,Pytilia hypogrammica,,0,0
Dybowski's Twinspot,Euschistospiza dybowskii,,1,0
Dusky Twinspot,Euschistospiza cinereovinacea,,3,0
Red-throated Twinspot,Hypargos niveoguttatus,,19,2
Pink-throated Twinspot,Hypargos margaritatus,,7,0
Brown Twinspot,Clytospiza monteiri,,1,0
Red-billed Firefinch,Lagonosticta senegala,,71,19
African Firefinch,Lagonosticta rubricata,,43,17
Landana Firefinch,Lagonosticta landanae,,5,0
Jameson's Firefinch,Lagonosticta rhodopareia,,26,8
Mali Firefinch,Lagonosticta virata,,4,1
Rock Firefinch,Lagonosticta sanguinodorsalis,,1,0
Chad Firefinch,Lagonosticta umbrinodorsalis,,0,0
Black-bellied Firefinch,Lagonosticta rara,,2,0
Bar-breasted Firefinch,Lagonosticta rufopicta,,7,1
Brown Firefinch,Lagonosticta nitidula,,9,0
Black-faced Firefinch,Lagonosticta larvata,,5,0
Village Indigobird,Vidua chalybeata,,69,12
Purple Indigobird,Vidua purpurascens,,20,0
Jambandu Indigobird,Vidua raricola,,1,0
Barka Indigobird,Vidua larvaticola,,4,0
Dusky Indigobird,Vidua funerea,,25,1
Zambezi Indigobird,Vidua codringtoni,,4,0
Wilson's Indigobird,Vidua wilsoni,,3,0
Quailfinch Indigobird,Vidua nigeriae,,0,0
Jos Plateau Indigobird,Vidua maryae,,1,0
Cameroon Indigobird,Vidua camerunensis,,1,0
Pin-tailed Whydah,Vidua macroura,,72,10
Steel-blue Whydah,Vidua hypocherina,,1,0
Straw-tailed Whydah,Vidua fischeri,,14,0
Shaft-tailed Whydah,Vidua regia,,10,0
Long-tailed Paradise Whydah,Vidua paradisaea,,7,0
Sahel Paradise Whydah,Vidua orientalis,,3,0
Exclamatory Paradise Whydah,Vidua interjecta,,1,0
Togo Paradise Whydah,Vidua togoensis,,0,0
Broad-tailed Paradise Whydah,Vidua obtusa,,2,0
Cuckoo-finch,Anomalospiza imberbis,,6,0
Olive Warbler,Peucedramus taeniatus,,153,122
Alpine Accentor,Prunella collaris,,208,11
Altai Accentor,Prunella himalayana,,22,2
Robin Accentor,Prunella rubeculoides,,15,1
Rufous-breasted Accentor,Prunella strophiata,,31,5
Siberian Accentor,Prunella montanella,,31,6
Brown Accentor,Prunella fulvescens,,60,17
Radde's Accentor,Prunella ocularis,,29,0
Arabian Accentor,Prunella fagani,,0,0
Black-throated Accentor,Prunella atrogularis,,24,4
Kozlov's Accentor,Prunella koslowi,,9,0
Dunnock,Prunella modularis,,2399,4973
Japanese Accentor,Prunella rubida,,4,2
Maroon-backed Accentor,Prunella immaculata,,7,0
Forest Wagtail,Dendronanthus indicus,,59,7
Western Yellow Wagtail,Motacilla flava,,2338,965
Eastern Yellow Wagtail,Motacilla tschutschensis,,262,34
Citrine Wagtail,Motacilla citreola,,368,40
Cape Wagtail,Motacilla capensis,,57,8
Madagascar Wagtail,Motacilla flaviventris,,24,3
Sao Tome Shorttail,Motacilla bocagii,,3,1
Grey Wagtail,Motacilla cinerea,,823,471
Mountain Wagtail,Motacilla clara,,42,4
White Wagtail,Motacilla alba,,1500,1469
African Pied Wagtail,Motacilla aguimp,,115,5
Mekong Wagtail,Motacilla samveasnae,,10,0
Japanese Wagtail,Motacilla grandis,,11,29
White-browed Wagtail,Motacilla maderaspatensis,,51,12
Golden Pipit,Tmetothylacus tenellus,,1,0
Sharpe's Longclaw,Macronyx sharpei,,2,0
Abyssinian Longclaw,Macronyx flavicollis,,3,0
Fülleborn's Longclaw,Macronyx fuelleborni,,20,1
Cape Longclaw,Macronyx capensis,,60,22
Yellow-throated Longclaw,Macronyx croceus,,58,10
Pangani Longclaw,Macronyx aurantiigula,,4,0
Rosy-throated Longclaw,Macronyx ameliae,,14,0
Grimwood's Longclaw,Macronyx grimwoodi,,2,0
Richard's Pipit,Anthus richardi,,446,36
Paddyfield Pipit,Anthus rufulus,,94,19
Australian Pipit,Anthus australis,,13,2
New Zealand Pipit,Anthus novaeseelandiae,,13,1
African Pipit,Anthus cinnamomeus,,110,25
Mountain Pipit,Anthus hoeschi,,7,0
Blyth's Pipit,Anthus godlewskii,,202,12
Tawny Pipit,Anthus campestris,,491,40
Long-billed Pipit,Anthus similis,,56,10
Nicholson's Pipit,Anthus nicholsoni,,31,1
Wood Pipit,Anthus nyassae,,11,2
Buffy Pipit,Anthus vaalensis,,6,0
Plain-backed Pipit,Anthus leucophrys,,34,4
Long-legged Pipit,Anthus pallidiventris,,4,0
Meadow Pipit,Anthus pratensis,,1120,1451
Tree Pipit,Anthus trivialis,,1984,1034
Olive-backed Pipit,Anthus hodgsoni,,769,77
Pechora Pipit,Anthus gustavi,,25,4
Rosy Pipit,Anthus roseatus,,42,5
Red-throated Pipit,Anthus cervinus,,456,50
Buff-bellied Pipit,Anthus rubescens,,147,36
Water Pipit,Anthus spinoletta,,657,124
European Rock Pipit,Anthus petrosus,,305,44
Nilgiri Pipit,Anthus nilghiriensis,,5,0
Upland Pipit,Anthus sylvanus,,21,1
Berthelot's Pipit,Anthus berthelotii,,61,18
Striped Pipit,Anthus lineiventris,,29,5
African Rock Pipit,Anthus crenatus,,136,1
Short-tailed Pipit,Anthus brachyurus,,6,0
Bushveld Pipit,Anthus caffer,,5,0
Sokoke Pipit,Anthus sokokensis,,14,0
Malindi Pipit,Anthus melindae,,13,1
Yellow-breasted Pipit,Anthus chloris,,14,1
Alpine Pipit,Anthus gutturalis,,5,0
Madanga,Anthus ruficollis,,0,0
Sprague's Pipit,Anthus spragueii,,38,38
Yellowish Pipit,Anthus lutescens,,91,15
Peruvian Pipit,Anthus peruvianus,,11,2
Short-billed Pipit,Anthus furcatus,,15,0
Puna Pipit,Anthus brevirostris,,25,5
Pampas Pipit,Anthus chacoensis,,7,0
Correndera Pipit,Anthus correndera,,101,5
South Georgia Pipit,Anthus antarcticus,,14,1
Ochre-breasted Pipit,Anthus nattereri,,53,0
Hellmayr's Pipit,Anthus hellmayri,,100,1
Paramo Pipit,Anthus bogotensis,,24,3
Przevalski's Finch,Urocynchramus pylzowi,,15,0
Common Chaffinch,Fringilla coelebs,,6348,22479
Tenerife Blue Chaffinch,Fringilla teydea,,34,15
Gran Canaria Blue Chaffinch,Fringilla polatzeki,,18,1
Brambling,Fringilla montifringilla,,876,679
Black-and-yellow Grosbeak,Mycerobas icterioides,,10,0
Collared Grosbeak,Mycerobas affinis,,21,4
Spot-winged Grosbeak,Mycerobas melanozanthos,,8,0
White-winged Grosbeak,Mycerobas carnipes,,63,27
Evening Grosbeak,Hesperiphona vespertina,,221,48
Hooded Grosbeak,Hesperiphona abeillei,,35,7
Hawfinch,Coccothraustes coccothraustes,,1257,1384
Chinese Grosbeak,Eophona migratoria,,70,22
Japanese Grosbeak,Eophona personata,,44,160
Pine Grosbeak,Pinicola enucleator,,265,31
Brown Bullfinch,Pyrrhula nipalensis,,44,5
Orange Bullfinch,Pyrrhula aurantiaca,,6,0
Red-headed Bullfinch,Pyrrhula erythrocephala,,15,1
Grey-headed Bullfinch,Pyrrhula erythaca,,26,5
Taiwan Bullfinch,Pyrrhula owstoni,,15,4
White-cheeked Bullfinch,Pyrrhula leucogenis,,8,0
Eurasian Bullfinch,Pyrrhula pyrrhula,,1449,1065
Azores Bullfinch,Pyrrhula murina,,27,4
Asian Crimson-winged Finch,Rhodopechys sanguineus,,8,1
African Crimson-winged Finch,Rhodopechys alienus,,16,1
Trumpeter Finch,Bucanetes githagineus,,138,10
Mongolian Finch,Bucanetes mongolicus,,81,5
Blanford's Rosefinch,Agraphospiza rubescens,,10,0
Spectacled Finch,Callacanthis burtoni,,11,0
Golden-naped Finch,Pyrrhoplectes epauletta,,5,1
Dark-breasted Rosefinch,Procarduelis nipalensis,,20,1
Plain Mountain Finch,Leucosticte nemoricola,,24,1
Brandt's Mountain Finch,Leucosticte brandti,,9,0
Asian Rosy Finch,Leucosticte arctoa,,11,2
Grey-crowned Rosy Finch,Leucosticte tephrocotis,,52,5
Black Rosy Finch,Leucosticte atrata,,37,4
Brown-capped Rosy Finch,Leucosticte australis,,14,1
Common Rosefinch,Carpodacus erythrinus,,806,364
Scarlet Finch,Carpodacus sipahi,,5,0
